Month,Year,Value,Country
Aug,2020,3833.0,Indonesia
Aug,2021,3414.0,Indonesia
Aug,2022,12348.0,Indonesia
Aug,2023,8719.0,Indonesia
Aug,2024,12297.0,Indonesia
July,2007,10449.0,Indonesia
July,2008,8011.0,Indonesia
July,2009,13703.0,Indonesia
July,2010,10929.0,Indonesia
July,2011,4432.0,Indonesia
July,2012,6009.0,Indonesia
July,2013,8726.0,Indonesia
July,2014,7360.0,Indonesia
July,2015,7194.0,Indonesia
July,2016,12005.0,Indonesia
July,2017,3836.0,Indonesia
July,2018,5303.0,Indonesia
July,2019,7738.0,Indonesia
July,2020,6329.0,Indonesia
July,2021,3422.0,Indonesia
July,2022,13118.0,Indonesia
July,2023,8052.0,Indonesia
July,2024,17863.0,Indonesia
June,2007,13325.0,Indonesia
June,2008,10699.0,Indonesia
June,2009,14120.0,Indonesia
June,2010,11643.0,Indonesia
June,2011,4486.0,Indonesia
June,2012,6887.0,Indonesia
June,2013,9170.0,Indonesia
June,2014,8353.0,Indonesia
June,2015,10005.0,Indonesia
June,2016,15183.0,Indonesia
June,2017,4190.0,Indonesia
June,2018,4685.0,Indonesia
June,2019,9514.0,Indonesia
June,2020,8106.0,Indonesia
June,2021,5444.0,Indonesia
June,2022,12762.0,Indonesia
June,2023,8115.0,Indonesia
June,2024,23415.0,Indonesia
May,2007,17221.0,Indonesia
May,2008,15127.0,Indonesia
May,2009,15654.0,Indonesia
May,2010,13364.0,Indonesia
May,2011,4811.0,Indonesia
May,2012,7999.0,Indonesia
May,2013,10871.0,Indonesia
May,2014,8896.0,Indonesia
May,2015,11787.0,Indonesia
May,2016,19075.0,Indonesia
May,2017,5427.0,Indonesia
May,2018,5554.0,Indonesia
May,2019,12556.0,Indonesia
May,2020,10725.0,Indonesia
May,2021,6677.0,Indonesia
May,2022,12470.0,Indonesia
May,2023,9447.0,Indonesia
May,2024,30115.0,Indonesia
Apr,2007,17343.0,Indonesia
Apr,2008,14741.0,Indonesia
Apr,2009,16647.0,Indonesia
Apr,2010,16274.0,Indonesia
Apr,2011,4838.0,Indonesia
Apr,2012,7983.0,Indonesia
Apr,2013,11907.0,Indonesia
Apr,2014,9088.0,Indonesia
Apr,2015,13658.0,Indonesia
Apr,2016,24239.0,Indonesia
Apr,2017,5888.0,Indonesia
Apr,2018,5420.0,Indonesia
Apr,2019,13642.0,Indonesia
Apr,2020,13160.0,Indonesia
Apr,2021,6211.0,Indonesia
Apr,2022,10664.0,Indonesia
Apr,2023,8042.0,Indonesia
Apr,2024,29247.0,Indonesia
Mar,2007,20473.0,Indonesia
Mar,2008,14065.0,Indonesia
Mar,2009,17146.0,Indonesia
Mar,2010,19554.0,Indonesia
Mar,2011,6474.0,Indonesia
Mar,2012,9355.0,Indonesia
Mar,2013,12022.0,Indonesia
Mar,2014,8675.0,Indonesia
Mar,2015,14884.0,Indonesia
Mar,2016,27005.0,Indonesia
Mar,2017,7870.0,Indonesia
Mar,2018,5212.0,Indonesia
Mar,2019,18110.0,Indonesia
Mar,2020,19366.0,Indonesia
Mar,2021,5712.0,Indonesia
Mar,2022,10082.0,Indonesia
Mar,2023,10220.0,Indonesia
Mar,2024,32091.0,Indonesia
Feb,2007,25848.0,Indonesia
Feb,2008,17724.0,Indonesia
Feb,2009,16545.0,Indonesia
Feb,2010,22490.0,Indonesia
Feb,2011,6602.0,Indonesia
Feb,2012,11074.0,Indonesia
Feb,2013,14070.0,Indonesia
Feb,2014,9410.0,Indonesia
Feb,2015,20164.0,Indonesia
Feb,2016,32117.0,Indonesia
Feb,2017,8668.0,Indonesia
Feb,2018,5061.0,Indonesia
Feb,2019,24018.0,Indonesia
Feb,2020,19693.0,Indonesia
Feb,2021,4472.0,Indonesia
Feb,2022,11849.0,Indonesia
Feb,2023,10862.0,Indonesia
Feb,2024,28886.0,Indonesia
Jan,2007,20071.0,Indonesia
Jan,2008,19568.0,Indonesia
Jan,2009,18532.0,Indonesia
Jan,2010,22796.0,Indonesia
Jan,2011,8492.0,Indonesia
Jan,2012,11396.0,Indonesia
Jan,2013,17230.0,Indonesia
Jan,2014,9445.0,Indonesia
Jan,2015,21267.0,Indonesia
Jan,2016,29672.0,Indonesia
Jan,2017,12675.0,Indonesia
Jan,2018,6168.0,Indonesia
Jan,2019,27445.0,Indonesia
Jan,2020,15950.0,Indonesia
Jan,2021,4567.0,Indonesia
Jan,2022,20486.0,Indonesia
Jan,2023,12611.0,Indonesia
Jan,2024,27058.0,Indonesia
Dec,2010,1282.0,Thailand
Dec,2011,945.0,Thailand
Dec,2012,3575.0,Thailand
Dec,2013,1149.0,Thailand
Dec,2014,1431.0,Thailand
Dec,2015,6552.0,Thailand
Dec,2016,1713.0,Thailand
Dec,2017,1742.0,Thailand
Dec,2018,3616.0,Thailand
Dec,2019,3024.0,Thailand
Dec,2020,1136.0,Thailand
Dec,2021,335.0,Thailand
Dec,2022,3211.0,Thailand
Dec,2023,8613.0,Thailand
Dec,2024,NA,Thailand
Nov,2010,2229.0,Thailand
Nov,2011,1615.0,Thailand
Nov,2012,4938.0,Thailand
Nov,2013,2574.0,Thailand
Nov,2014,2237.0,Thailand
Nov,2015,13731.0,Thailand
Nov,2016,2627.0,Thailand
Nov,2017,2512.0,Thailand
Nov,2018,4493.0,Thailand
Nov,2019,6842.0,Thailand
Nov,2020,2036.0,Thailand
Nov,2021,523.0,Thailand
Nov,2022,4247.0,Thailand
Nov,2023,12803.0,Thailand
Nov,2024,7006.0,Thailand
Oct,2010,3630.0,Thailand
Oct,2011,1696.0,Thailand
Oct,2012,4683.0,Thailand
Oct,2013,3653.0,Thailand
Oct,2014,2292.0,Thailand
Oct,2015,10660.0,Thailand
Oct,2016,3498.0,Thailand
Oct,2017,2484.0,Thailand
Oct,2018,4712.0,Thailand
Oct,2019,8391.0,Thailand
Oct,2020,2929.0,Thailand
Oct,2021,544.0,Thailand
Oct,2022,4072.0,Thailand
Oct,2023,13040.0,Thailand
Oct,2024,8359.0,Thailand
Sep,2010,7463.0,Thailand
Sep,2011,2741.0,Thailand
Sep,2012,4645.0,Thailand
Sep,2013,6972.0,Thailand
Sep,2014,2697.0,Thailand
Sep,2015,12922.0,Thailand
Sep,2016,5012.0,Thailand
Sep,2017,3179.0,Thailand
Sep,2018,5936.0,Thailand
Sep,2019,9768.0,Thailand
Sep,2020,5604.0,Thailand
Sep,2021,625.0,Thailand
Sep,2022,4057.0,Thailand
Sep,2023,15226.0,Thailand
Sep,2024,11395.0,Thailand
Aug,2010,11299.0,Thailand
Aug,2011,4352.0,Thailand
Aug,2012,5080.0,Thailand
Aug,2013,13555.0,Thailand
Aug,2014,3365.0,Thailand
Aug,2015,13461.0,Thailand
Aug,2016,6676.0,Thailand
Aug,2017,4812.0,Thailand
Aug,2018,7976.0,Thailand
Aug,2019,12464.0,Thailand
Aug,2020,9027.0,Thailand
Aug,2021,737.0,Thailand
Aug,2022,4833.0,Thailand
Aug,2023,22536.0,Thailand
Aug,2024,16119.0,Thailand
July,2010,10037.0,Thailand
July,2011,5203.0,Thailand
July,2012,5377.0,Thailand
July,2013,18947.0,Thailand
July,2014,3552.0,Thailand
July,2015,11068.0,Thailand
July,2016,4991.0,Thailand
July,2017,5368.0,Thailand
July,2018,9257.0,Thailand
July,2019,15525.0,Thailand
July,2020,11315.0,Thailand
July,2021,792.0,Thailand
July,2022,5854.0,Thailand
July,2023,21381.0,Thailand
July,2024,15371.0,Thailand
June,2010,6631.0,Thailand
June,2011,5337.0,Thailand
June,2012,4372.0,Thailand
June,2013,16663.0,Thailand
June,2014,2637.0,Thailand
June,2015,7937.0,Thailand
June,2016,2503.0,Thailand
June,2017,4411.0,Thailand
June,2018,8765.0,Thailand
June,2019,12892.0,Thailand
June,2020,6690.0,Thailand
June,2021,1208.0,Thailand
June,2022,4883.0,Thailand
June,2023,10750.0,Thailand
June,2024,7992.0,Thailand
May,2010,3666.0,Thailand
May,2011,3501.0,Thailand
May,2012,2412.0,Thailand
May,2013,8784.0,Thailand
May,2014,1436.0,Thailand
May,2015,4645.0,Thailand
May,2016,1230.0,Thailand
May,2017,2230.0,Thailand
May,2018,4532.0,Thailand
May,2019,5527.0,Thailand
May,2020,4190.0,Thailand
May,2021,821.0,Thailand
May,2022,1745.0,Thailand
May,2023,4209.0,Thailand
May,2024,4968.0,Thailand
Apr,2010,1868.0,Thailand
Apr,2011,1315.0,Thailand
Apr,2012,1338.0,Thailand
Apr,2013,4723.0,Thailand
Apr,2014,770.0,Thailand
Apr,2015,1939.0,Thailand
Apr,2016,1307.0,Thailand
Apr,2017,1174.0,Thailand
Apr,2018,1790.0,Thailand
Apr,2019,3175.0,Thailand
Apr,2020,2140.0,Thailand
Apr,2021,333.0,Thailand
Apr,2022,549.0,Thailand
Apr,2023,2918.0,Thailand
Apr,2024,4327.0,Thailand
Mar,2010,2020.0,Thailand
Mar,2011,973.0,Thailand
Mar,2012,1106.0,Thailand
Mar,2013,3783.0,Thailand
Mar,2014,1010.0,Thailand
Mar,2015,1511.0,Thailand
Mar,2016,2347.0,Thailand
Mar,2017,1104.0,Thailand
Mar,2018,1544.0,Thailand
Mar,2019,3480.0,Thailand
Mar,2020,1618.0,Thailand
Mar,2021,546.0,Thailand
Mar,2022,357.0,Thailand
Mar,2023,2636.0,Thailand
Mar,2024,5315.0,Thailand
Feb,2010,1528.0,Thailand
Feb,2011,956.0,Thailand
Feb,2012,938.0,Thailand
Feb,2013,2918.0,Thailand
Feb,2014,856.0,Thailand
Feb,2015,1160.0,Thailand
Feb,2016,2505.0,Thailand
Feb,2017,1229.0,Thailand
Feb,2018,1183.0,Thailand
Feb,2019,3195.0,Thailand
Feb,2020,1782.0,Thailand
Feb,2021,551.0,Thailand
Feb,2022,284.0,Thailand
Feb,2023,2338.0,Thailand
Feb,2024,7123.0,Thailand
Jan,2010,1496.0,Thailand
Jan,2011,1125.0,Thailand
Jan,2012,857.0,Thailand
Jan,2013,3781.0,Thailand
Jan,2014,887.0,Thailand
Jan,2015,1367.0,Thailand
Jan,2016,4057.0,Thailand
Jan,2017,1598.0,Thailand
Jan,2018,1272.0,Thailand
Jan,2019,3583.0,Thailand
Jan,2020,2444.0,Thailand
Jan,2021,763.0,Thailand
Jan,2022,375.0,Thailand
Jan,2023,3129.0,Thailand
Jan,2024,11413.0,Thailand
Dec,2017,8752.0,Sri Lanka
Dec,2018,5564.0,Sri Lanka
Dec,2019,17009.0,Sri Lanka
Dec,2020,1557.0,Sri Lanka
Dec,2021,9894.0,Sri Lanka
Dec,2022,7331.0,Sri Lanka
Dec,2023,11313.0,Sri Lanka
Dec,2024,NA,Sri Lanka
Nov,2017,10804.0,Sri Lanka
Nov,2018,3284.0,Sri Lanka
Nov,2019,15961.0,Sri Lanka
Nov,2020,636.0,Sri Lanka
Nov,2021,4058.0,Sri Lanka
Nov,2022,6489.0,Sri Lanka
Nov,2023,9373.0,Sri Lanka
Nov,2024,NA,Sri Lanka
Oct,2017,6603.0,Sri Lanka
Oct,2018,2349.0,Sri Lanka
Oct,2019,12649.0,Sri Lanka
Oct,2020,875.0,Sri Lanka
Oct,2021,2794.0,Sri Lanka
Oct,2022,4270.0,Sri Lanka
Oct,2023,3631.0,Sri Lanka
Oct,2024,2944.0,Sri Lanka
Sep,2017,6875.0,Sri Lanka
Sep,2018,2191.0,Sri Lanka
Sep,2019,6554.0,Sri Lanka
Sep,2020,1507.0,Sri Lanka
Sep,2021,1623.0,Sri Lanka
Sep,2022,4180.0,Sri Lanka
Sep,2023,2397.0,Sri Lanka
Sep,2024,2761.0,Sri Lanka
Aug,2017,23898.0,Sri Lanka
Aug,2018,4953.0,Sri Lanka
Aug,2019,7568.0,Sri Lanka
Aug,2020,1526.0,Sri Lanka
Aug,2021,1136.0,Sri Lanka
Aug,2022,7549.0,Sri Lanka
Aug,2023,5718.0,Sri Lanka
Aug,2024,3888.0,Sri Lanka
July,2017,40474.0,Sri Lanka
July,2018,6578.0,Sri Lanka
July,2019,8834.0,Sri Lanka
July,2020,2147.0,Sri Lanka
July,2021,2994.0,Sri Lanka
July,2022,10082.0,Sri Lanka
July,2023,6679.0,Sri Lanka
July,2024,4513.0,Sri Lanka
June,2017,21083.0,Sri Lanka
June,2018,4143.0,Sri Lanka
June,2019,4546.0,Sri Lanka
June,2020,1894.0,Sri Lanka
June,2021,3428.0,Sri Lanka
June,2022,13254.0,Sri Lanka
June,2023,9143.0,Sri Lanka
June,2024,3322.0,Sri Lanka
May,2017,20234.0,Sri Lanka
May,2018,4358.0,Sri Lanka
May,2019,3725.0,Sri Lanka
May,2020,833.0,Sri Lanka
May,2021,1257.0,Sri Lanka
May,2022,5695.0,Sri Lanka
May,2023,10909.0,Sri Lanka
May,2024,2652.0,Sri Lanka
Apr,2017,12574.0,Sri Lanka
Apr,2018,2325.0,Sri Lanka
Apr,2019,2399.0,Sri Lanka
Apr,2020,542.0,Sri Lanka
Apr,2021,2074.0,Sri Lanka
Apr,2022,3785.0,Sri Lanka
Apr,2023,7190.0,Sri Lanka
Apr,2024,2235.0,Sri Lanka
Mar,2017,11815.0,Sri Lanka
Mar,2018,2817.0,Sri Lanka
Mar,2019,3000.0,Sri Lanka
Mar,2020,2396.0,Sri Lanka
Mar,2021,2595.0,Sri Lanka
Mar,2022,3474.0,Sri Lanka
Mar,2023,7330.0,Sri Lanka
Mar,2024,3625.0,Sri Lanka
Feb,2017,5281.0,Sri Lanka
Feb,2018,4365.0,Sri Lanka
Feb,2019,3577.0,Sri Lanka
Feb,2020,6313.0,Sri Lanka
Feb,2021,2355.0,Sri Lanka
Feb,2022,3056.0,Sri Lanka
Feb,2023,6828.0,Sri Lanka
Feb,2024,6041.0,Sri Lanka
Jan,2017,6343.0,Sri Lanka
Jan,2018,7141.0,Sri Lanka
Jan,2019,5402.0,Sri Lanka
Jan,2020,12006.0,Sri Lanka
Jan,2021,1912.0,Sri Lanka
Jan,2022,7090.0,Sri Lanka
Jan,2023,8148.0,Sri Lanka
Jan,2024,NA,Sri Lanka
Dec,2021,225.0,Timor-Leste
Dec,2022,46.0,Timor-Leste
Dec,2023,72.0,Timor-Leste
Dec,2024,NA,Timor-Leste
Nov,2021,39.0,Timor-Leste
Nov,2022,41.0,Timor-Leste
Nov,2023,40.0,Timor-Leste
Nov,2024,NA,Timor-Leste
Oct,2021,12.0,Timor-Leste
Oct,2022,63.0,Timor-Leste
Oct,2023,68.0,Timor-Leste
Oct,2024,39.0,Timor-Leste
Sep,2021,7.0,Timor-Leste
Sep,2022,25.0,Timor-Leste
Sep,2023,71.0,Timor-Leste
Sep,2024,28.0,Timor-Leste
Aug,2021,8.0,Timor-Leste
Aug,2022,47.0,Timor-Leste
Aug,2023,142.0,Timor-Leste
Aug,2024,24.0,Timor-Leste
July,2021,28.0,Timor-Leste
July,2022,139.0,Timor-Leste
July,2023,141.0,Timor-Leste
July,2024,30.0,Timor-Leste
June,2021,20.0,Timor-Leste
June,2022,254.0,Timor-Leste
June,2023,146.0,Timor-Leste
June,2024,45.0,Timor-Leste
May,2021,13.0,Timor-Leste
May,2022,487.0,Timor-Leste
May,2023,373.0,Timor-Leste
May,2024,101.0,Timor-Leste
Apr,2021,13.0,Timor-Leste
Apr,2022,700.0,Timor-Leste
Apr,2023,275.0,Timor-Leste
Apr,2024,307.0,Timor-Leste
Mar,2021,116.0,Timor-Leste
Mar,2022,1201.0,Timor-Leste
Mar,2023,315.0,Timor-Leste
Mar,2024,347.0,Timor-Leste
Feb,2021,242.0,Timor-Leste
Feb,2022,1284.0,Timor-Leste
Feb,2023,205.0,Timor-Leste
Feb,2024,328.0,Timor-Leste
Jan,2021,178.0,Timor-Leste
Jan,2022,1371.0,Timor-Leste
Jan,2023,105.0,Timor-Leste
Jan,2024,189.0,Timor-Leste
Dec,2019,1247.0,Bangladesh
Dec,2022,5024.0,Bangladesh
Dec,2023,9288.0,Bangladesh
Dec,2024,NA,Bangladesh
Nov,2019,4011.0,Bangladesh
Nov,2022,19334.0,Bangladesh
Nov,2023,40716.0,Bangladesh
Nov,2024,29652.0,Bangladesh
Oct,2019,8143.0,Bangladesh
Oct,2022,21932.0,Bangladesh
Oct,2023,67769.0,Bangladesh
Oct,2024,30879.0,Bangladesh
Sep,2019,17758.0,Bangladesh
Sep,2022,9911.0,Bangladesh
Sep,2023,79598.0,Bangladesh
Sep,2024,18097.0,Bangladesh
Aug,2019,51754.0,Bangladesh
Aug,2022,3521.0,Bangladesh
Aug,2023,71976.0,Bangladesh
Aug,2024,6521.0,Bangladesh
July,2019,4185.0,Bangladesh
July,2022,1571.0,Bangladesh
July,2023,43854.0,Bangladesh
July,2024,2669.0,Bangladesh
June,2019,NA,Bangladesh
June,2022,737.0,Bangladesh
June,2023,5956.0,Bangladesh
June,2024,798.0,Bangladesh
May,2019,NA,Bangladesh
May,2022,163.0,Bangladesh
May,2023,1036.0,Bangladesh
May,2024,644.0,Bangladesh
Apr,2019,NA,Bangladesh
Apr,2022,23.0,Bangladesh
Apr,2023,143.0,Bangladesh
Apr,2024,504.0,Bangladesh
Mar,2019,NA,Bangladesh
Mar,2022,20.0,Bangladesh
Mar,2023,111.0,Bangladesh
Mar,2024,311.0,Bangladesh
Feb,2019,NA,Bangladesh
Feb,2022,20.0,Bangladesh
Feb,2023,166.0,Bangladesh
Feb,2024,339.0,Bangladesh
Jan,2019,NA,Bangladesh
Jan,2022,126.0,Bangladesh
Jan,2023,566.0,Bangladesh
Jan,2024,1055.0,Bangladesh
Dec,2024,NA,Bhutan
Nov,2024,NA,Bhutan
Oct,2024,3.0,Bhutan
Sep,2024,1.0,Bhutan
Aug,2024,4.0,Bhutan
July,2024,2.0,Bhutan
June,2024,0.0,Bhutan
May,2024,0.0,Bhutan
Apr,2024,0.0,Bhutan
Mar,2024,0.0,Bhutan
Feb,2024,0.0,Bhutan
Jan,2024,0.0,Bhutan
